"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NPS37MJL","book","1927","Baban, Şükrü","İktisad-ı Zirai","","","","","","","1927","2024-09-29 11:23:19","2024-09-29 11:24:23","","","","","","","","","","","","","Mülkiye Matbaası","İstanbul","Ottoman Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEGGN6JZ","journalArticle","2006","Tunalı, Ayten Can","Hasan Fehmi Paşa’nın Aydın Valiliği Döneminde Eğitim-Öğretimde Düzenlemeler","Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesi Dergisi","","","","","","2006","2024-09-16 18:16:46","2024-09-16 18:18:04","","137-151","","1","46","","","","","","","","","","Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUSKWVHZ","journalArticle","1931","Margossian, Aram","Carrés Latins et Carrés d’Euler (Modules Impairs)","L’Enseignement Mathématique","","","","","","1931","2024-08-31 15:32:23","2024-08-31 15:33:58","","41-49","","30","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHRQT6M4","journalArticle","1912","Margossian, Aram","Les Carrés d’Euler (Problèmes des Officiers)","Sphinx","","","","","","1912","2024-08-31 15:28:30","2024-08-31 15:32:06","","1-16","","7","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTNXK7F8","journalArticle","2023","Takıcak, Semiha Betül; Eden, Alp","İnşaat Mühendisi ve Amatör Matematikçi Aram  Margosyan’ın İstatistik Üzerine Görüşleri","Osmanlı Bilimi Araştırmaları","","","10.26650/oba.1133163","","","2023","2024-08-31 15:08:35","2024-08-31 15:10:39","","33-65","","1","24","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSZ2GW37","journalArticle","2024","Eden, Alp; Takıcak, Semiha Betül","Fransız Mühendis Collignon’un Kinematik Kitabının Osmanlıca Uyarlaması: Margosyan’ın Fenn-i Mihânik-i Riyâzî Ders Notları.","Osmanlı Bilimi Araştırmaları","","","","","","2024","2024-08-23 12:36:47","2024-08-23 12:38:39","","1-28","","1","25","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23UBZ36R","journalArticle","1909","Margosyan, Aram","Hendese-i Mülkiye Muallimlerinden Mehmed Refik Beye","Osmanlı Mühendis ve Mimar Cemiyeti Mecmuası","","","","","","1909","2024-08-23 12:32:58","2024-08-23 12:34:34","","69-70","","3","1","","","","","","","","","","Ottoman Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YM8JBCET","book","1886","Margosyan, Aram","Fenn-i Mihanik-i Riyaziyye","","","","","","","1886","2024-08-23 12:27:06","2024-08-23 12:29:36","","","","","","","","","","","","","Mühendishâne-i Berrî-i Hümâyûn Matbaası","İstanbul","Ottoman Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYZQ2FR4","book","1887","Margosyan, Aram","Hesâb-ı Tahlili (Kitab-ı Evvel: Hesâb-ı Tefâzüli)","","","","","","","1887","2024-08-23 12:25:09","2024-08-23 12:26:23","","","","","","","","","","","","","Matbaa-i Daire-i Askeriyye","İstanbul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YURN9W5E","book","1885","Margosyan, Aram","Muhasebe-i Ziraiyye","","","","","","","1885","2024-08-23 11:53:21","2024-08-23 11:55:05","","","","","","","","","","","","","Selanik Matbaası","İstanbul","Ottoman Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTWQA6CE","bookSection","1972","İlkin, Selim","1920-1960 Döneminde Türkiye’deki İktisat ve Ticaret Eğitimi ile İlgili Kuruluşların Gelişimi Tarihi Üzerine Bir Deneme","Türkiye’de Üniversitelerde Okutulan İktisat Üzerine","","","","","","1972","2022-08-04 22:33:09","2024-08-22 10:09:03","","3–38","","","","","","","","","","","ODTÜ Yayınları","Ankara","Modern Turkish","","","","","","","","","","","","","Görün, Fikret","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA7ZST48","thesis","1974","Sezgin, Ömür","La recherche d’une doctrine nouvelle du developpement economique : le mouvement de Kadro en Turquie","","","","","","","1974","2024-08-15 20:27:40","2024-08-15 20:30:19","","","","","","","","","","","","","Paris 1 Panthéon-Sorbonne University","Paris","Modern Turkish","","Doctoral Thesis (Advisor: Henri Denis)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K74PMIH","thesis","1993","Sarfati, Metin","Piyasa Ekonomisinin Evrimi ve Sosyal Demokrasi","","","","","","","1993","2024-07-20 13:20:32","2024-08-15 20:29:01","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doctoral Thesis (Advisor: Yüksel Ülken)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRS6956S","book","2022","Sarfati, Metin","Yahudi İnsandan İnsan Yahudi'ye","","","","","","","2022","2024-07-13 18:21:26","2024-08-15 20:26:01","","","260","","","","","","","","","","Efil Yayınevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R72GA737","journalArticle","2021","Sarfati, Metin","İktisatın İnsanının “Özgür İradesi(!)”","İktisat ve Toplum Dergisi","","","","","","2021","2024-07-13 20:12:17","2024-08-15 20:25:56","","101-106","","129","","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRYCFHEA","journalArticle","2019","Sarfati, Metin","Yahudi’nin Kaderi; İnsanın Kaderi veya “Homo Judaeus”tan “Homo Capitalius”a, Marx’tan Sombart’a Düşünce Tarihinden Kısa Notlar","Yıldız Social Science Review","","","","","","2019","2024-07-20 13:28:30","2024-08-15 20:25:50","","155-170","","2","5","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFJN2SPS","bookSection","2017","Sarfati, Metin","List'in İktisadi Düşüncesinin 'Türkleştirme Süreci' Üzerindeki Yansımaları","Türkiye'de İktisadi Düşünce","","","","","","2017","2023-08-11 13:00:35","2024-08-15 20:25:45","","131-167","","","","","","","","","","","İletişim Yayınları","İstanbul","Modern Turkish","","","","","","","","","","","","","Özgür, M. Erdem; Duman, Alper; Kaya, Alp Yücel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ9GM92F","journalArticle","2015","Sarfati, Metin","Kemer Sıkmaya Hayır. Ama…","","","","","","","2015","2024-07-13 20:21:08","2024-08-15 20:25:40","","","","","","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERTHJ3CD","journalArticle","2015","Sarfati, Metin","Bir Ütopya Olarak İktisatta Çoğulculuk veya “Ekonomi ve Toplum”","İktisat ve Toplum Dergisi","","","","","","2015","2024-07-13 20:23:54","2025-02-22 13:58:48","","33-38","","","56","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QM8PXTXN","book","2014","Sarfati, Metin","Uygarlığın Bunalımı : Psikanalizin ve İktisadın Kavşağında Bir Analiz Denemesi","","","","","","","2014","2024-07-13 18:25:18","2024-08-15 20:25:29","","","","","","","","","","","","","Arvana Yayınları","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXKXYH8R","journalArticle","2014","Sarfati, Metin","İktisadın Gizemi, İktisadın Geleceği","Hukuk ve İktisat Araştırmaları Dergisi","","","","","","2014","2024-07-20 13:23:34","2024-08-15 20:25:25","","1–14","","2","6","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLX3FQMK","journalArticle","2014","Sarfati, Metin","Etiksiz Kalmış İktisat Şiddet Üretiyor mu?","","","","","","","2014","2024-07-13 20:24:36","2024-08-15 20:25:19","","","","","","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3ENJMST","journalArticle","2012","Sarfati, Metin","Smith –Spinoza ve İktisat Teorisinin Kısa Bir Eleştirisi","Ekonomi Bilimleri Dergisi","","","","","","2012","2024-07-20 13:32:40","2024-08-15 20:25:15","","89–98","","2","4","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XXHZF9R","book","2010","Sarfati, Metin","Ekonomi Politiğin İnsanı 'Kim'dir?","","","","","","","2010","2023-08-11 13:03:00","2024-08-15 20:25:10","","","","","","","","","","","","","Derin Yayınları","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUBP57EN","journalArticle","2008","Sarfati, Metin","Görünmeyen El Metaforu","Ekonomik Yaklaşım","","","","","","2008","2024-07-20 14:00:43","2024-08-15 20:25:05","","29-71","","66","19","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJBFL3XD","journalArticle","2005","Sarfati, Metin","Rasyonalite Ve Neoklasik Kuram","Ekonomik Yaklaşım","","","","","","2005","2024-07-20 13:58:32","2024-08-15 20:25:00","","103-130","","57","16","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJY93X9V","journalArticle","2004","Sarfati, Metin","Rasyonalite-Homo Economicus ve Klasikler","İktisat Dergisi","","","","","","2004","2024-07-20 16:07:22","2024-08-15 20:24:55","","24-31","","1","453","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58Y9PKU9","journalArticle","2003","Sarfati, Metin","Tobin ve Vergisi","İktisat Dergisi","","","","","","2003","2024-07-20 16:05:54","2024-08-15 20:24:50","","86-87","","1","438","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLSIRKVS","journalArticle","2003","Sarfati, Metin","Finansın Liberalizasyonu","İktisat Dergisi","","","","","","2003","2024-07-20 16:04:12","2024-08-15 20:24:45","","38-41","","1","438","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPI484RM","thesis","1906","Lütfi, Ziya İ.","La Politique Sanitaire Internationale","","","","","","","1906","2024-08-15 20:21:45","2024-08-15 20:22:29","","","","","","","","","","","","","University of Paris","Paris","French","","Doctoral Thesis (Advisor: M. Louis Renault)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGYMEG5Z","thesis","1939","İnan, Afet","L’ Anatolie, le pays de la “race” turque","","","","","","","1939","2024-08-15 20:19:28","2024-08-15 20:20:29","","","","","","","","","","","","","University of Geneva","Geneva","French","","Doctoral Thesis (Advisor: M. Eugene Pittard)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3XQIFKJ","thesis","1951","Akdağ, Mustafa","Celali Fetreti 1597-1603","","","","","","","1951","2024-08-15 20:15:20","2024-08-15 20:15:40","","","","","","","","","","","","","","","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMSUQZJD","thesis","1981","Köksal, Erhan","Az Gelişmiş Ülkelerde Demokratik Rejim Uygulaması","","","","","","","1981","2024-08-15 20:14:46","2024-08-15 20:15:12","","","","","","","","","","","","","Middle East Technical University,","Ankara","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MB55DDND","thesis","1965","Sönmez, Nezihe","Az Gelişmiş Memleketlere Yapılan Yardımlar","","","","","","","1965","2024-08-15 20:14:22","2024-08-15 20:14:37","","","","","","","","","","","","","İzmir İktisadi ve Ticari İlimler Akademisi","İzmir","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UUNWTYS","thesis","1967","Akalın, Mehmet Sedat","Temel Ekonomik Kavramların Matematik Analizi","","","","","","","1967","2024-08-15 20:13:49","2024-08-15 20:14:13","","","","","","","","","","","","","İzmir İktisadi ve Ticari İlimler Akademisi","İzmir","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9467T5Z","thesis","1964","Olalı, Hasan","Otelcilik Endüstrisi Yatırımları ve Finansmanı","","","","","","","1964","2024-08-15 20:13:05","2024-08-15 20:13:34","","","","","","","","","","","","","İzmir İktisadi ve Ticari İlimler Akademisi","İzmir","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q78FNBMA","thesis","1951","Hatiboğlu, Zeyyat","Para, Faiz Haddi ve Milli Gelir","","","","","","","1951","2024-08-15 20:12:40","2024-08-15 20:12:55","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG7UH4S7","thesis","1958","Ülken, Yüksel","İktisadi Strüktür Mefhumunun Metodolojik Bir Tahlili","","","","","","","1958","2024-08-15 20:12:07","2024-08-15 20:12:31","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8K79EZX","thesis","1959","Demirgil, Yorgi","Hızlandırma Prensibi","","","","","","","1959","2024-08-15 20:11:44","2024-08-15 20:11:59","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UNDHT9Z","thesis","1970","Güllap, Talat","Türkiye Ekonomisinde Talep Enflasyonu ve Para Politikası (1950-1960 Tecrübesi)","","","","","","","1970","2024-08-15 20:11:17","2024-08-15 20:11:34","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"592A5VDF","thesis","1951","Barda, Süleyman","Altın ve Milletlerarası Para Nazariyeleri ve Tatbikatı","","","","","","","1951","2024-08-15 20:10:52","2024-08-15 20:11:08","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEIC8SJT","thesis","1965","Görgün, Sevim","Devlet Ekonomisinde Kaynak Dağılımı","","","","","","","1965","2024-08-15 20:10:26","2024-08-15 20:10:42","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BAKXQIX","thesis","1955","Tuncer, Selahaddin","Maliye Politikası ve Milli Gelir","","","","","","","1955","2024-08-15 20:09:54","2024-08-15 20:10:11","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUTFM7IB","thesis","1950","Okyar, Osman","Milli Gelir","","","","","","","1950","2024-08-15 20:09:31","2024-08-15 20:09:45","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUTMLWFU","thesis","1939","Barkan, Ömer Lütfi","Osmanlı İmparatorluğu'nun Toprak Meseleleri","","","","","","","1939","2024-08-15 20:09:03","2024-08-15 20:09:20","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TA7Q33SV","thesis","1958","Yenal, Oktay","Türkiye'de Para ve Fiyatlar","","","","","","","1958","2024-08-15 20:08:40","2024-08-15 20:08:53","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTAYA99C","thesis","1964","Ekin, Nusret","Gelişmiş ve Az Gelişmiş Ekonomilerde İşgücünün Bünyesi","","","","","","","1964","2024-08-15 20:08:18","2024-08-15 20:08:32","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VE8I9XFY","thesis","1965","Karacan, Nuri","Türkiye’de Yerel Yönetimlerin Tarihsel Gelişimi ve Maliye Sorunları","","","","","","","1965","2024-08-15 20:07:55","2024-08-15 20:08:09","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNESAIN8","thesis","1980","Falay, Nihat","Türkiye’de Yerel Yönetimlerin Tarihsel Gelişimi ve Maliye Sorunları","","","","","","","1980","2024-08-15 20:07:31","2024-08-15 20:07:45","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5TUCFY2","thesis","1964","Yalçıntaş, Nevzat","Emek Arzı İle Ücret Hadleri Arasında Tersine Elastikiyet","","","","","","","1964","2024-08-15 20:07:07","2024-08-15 20:07:22","","","","","","","","","","","","","İstanbul University","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
