id,date,type,explanation,references
timelineID35,1921,Publication,Edip Serdengeçti was the first Ottoman citizen to receive a doctoral degree with a thesis in political economy from a research institution within the Ottoman Empire (Darülfünun). The title of his thesis was Mülkiyet Nehcinin Vech-i Tekâmülü [The Evolutionary Aspect of Property Law].,Partalcı (2014).
timelineID36,1922,Publication,"Versay Sulhu'nun Netayic-i İktisadiyesi, Turkish translation of John Maynard Keynes’s The Economic Consequences of Peace, 1919.",Yalçıntaş et al. (2022-2025).
timelineID37,1923,Event,The Republic of Turkey was founded.,Yalçıntaş et al. (2022-2025).
timelineID38,1923,Institution,"İzmir İktisat Kongresi [İzmir Economic Congress], was held in İzmir. The congress was a milestone indicating the liberal policies of the new republic.",Yalçıntaş et al. (2022-2025).
timelineID39,1924,Institution,"John Dewey was invited to Turkey to write reports on the educational system in the country.
Türkiye İş Bankası, the first national bank in Turkey, was founded.",Kaya Erman and Yalçıntaş (2021).
timelineID40,1928,Event,The Arabic-based alphabet was replaced by the Latin-based new alphabet.,Yalçıntaş et al. (2022-2025).
timelineID41,1929,Event,"The Great Depression 
Milli İktisat ve Tasarruf Cemiyeti was founded.",
timelineID42,1925,Publication,"Charles Gide and Charles Rist. Fizyokratlardan Günümüze Kadar İktisadî Mezhepler Tarihi [Turkish translation of Histoire des doctrines économiques, depuis les physiocrates jusqu'à nos jours, 1909]. This is the first history of economics textbook published in Turkish.",Yalçıntaş (2023).
timelineID43,1930,Publication,Wilhelm Röpke. “Fascist Economics”. This was the first international article published by a university professor in Turkey.,Yalçıntaş et al. (2022-2025).
timelineID44,1933,Institution,İstanbul University was founded.,Yalçıntaş et al. (2022-2025).
timelineID45,1934,Publication,Şükrü Baban. İktisadi Meslekler [Economic Doctrines]. This is the first non-translated history of economics textbook in Turkish.,Yalçıntaş (2023).
timelineID46,1935,Event,İzmir Dış Ticaret Mesleki ve Anadolu Lisesi [İzmir School of Foreign Trade],
timelineID47,1936,Institution,"Mekteb-i Mülkiye was moved to Ankara. The name of the school was replaced by the School of Political Sciences where the Section of Finance (mali şube) offered courses on economics. The director of the school was a historian and philosopher of economics, Mehmet Emin Erişirgil.
The Faculty of Economics at İstanbul University has been the first economics faculty in Turkey.",Baskıcı (2009).
timelineID48,1936,Publication,Wilhelm Röpke. Ekonomi İlminin Tekamül Tarihi [The Progressive History of Economic Science].,Yalçıntaş (2023).
timelineID49,1941,Publication,The first doctoral programme in economics was founded at İstanbul University.,
timelineID50,1943,Publication,"Feridun Ergin. Harp Zamanında Devletin Ekonomiye Müdahalesi [State Intervention in the Economy in the Times of War] advisor: Fritz Neumark). Ergin was the first PhD who earned his degree from a Turkish university (İstanbul University).
Fritz Neumark. İktisadi Düşünce Tarihi [History of Economic Thought]",Yalçıntaş (2023).
timelineID51,1945,Publication,"Mehmet Emin Erişirgil. Ekonomi Meslekleri: XVI. Yüzyıldan Zamanımıza Kadar [Schools of Economics, from the Sixteenth Century to the Present].",Yalçıntaş (2023).
timelineID52,1946,Event,Ankara University was founded.,Yalçıntaş et al. (2022-2025).
timelineID53,1948,Publication,"Milletlerin Zenginliği, Turkish translation of Adam Smith’s The Wealth of Nations.",Yalçıntaş et al. (2022-2025).
timelineID54,1950,Institution,The School of Political Sciences joined Ankara University. One of the departments of the faculty was the Department of Finance (mali şube).,Baskıcı (2009).
timelineID55,1955,Event,"The Turkish Institute for Economic History was founded.
The Section of Finance and Economics (İktisat ve Maliye Şubesi) was founded at Ankara University.
The Turkish Economic Association, formerly Milli İktisat ve Tasarruf Cemiyeti, was founded",
timelineID56,1957,Publication,"Gülten Kazgan, Zirai Gelir Meselesi [The Issue of Agricultural Income] (advisor: xxx) and Mualla Öncel, Xxx (advisor: xxx) were the first female PhDs who earned their degrees from a Turkish university (İstanbul University).",Yalçıntaş (2023).
timelineID57,1959,Publication,Şevket Süreyya Aydemir. Suyu Arayan Adam [The Man Seeking Water]. This was the first autobiography published by an economist.,
timelineID58,1959,Event,"Middle East Technical University, Department of Economics and Statistics was founded.",
timelineID59,1960,Publication,"Sadun Aren. İstihdam, Para ve İktisadi Politika [Employment, Money, and Economic Policy]. This was the first macroeconomics textbook published in Turkish.",
timelineID60,1960,Institution,"Devlet Planlama Teşkilatı [State Planning Organization] was founded. Jan Tinbergen played a significant role in the foundation of the Organization.
Tuncer Bulutay defended his thesis entitled Başlıca İktisadi Büyüme Nazariyeleri [Major Theories of Economic Growth] and earned the first PhD degree in economics from Ankara University (advisor: Sadun Aren).",
timelineID61,1960,Event,Coup d’etat,
timelineID62,1962,Publication,Sencer Divitçioğlu. Mikroiktisat [Microeconomics]. This was the microeconomics textbook published in Turkish.,
timelineID63,1966,Publication,"Sencer Divitçioğlu. Asya Tipi Üretim ve Az-Gelişmiş Ülkeler [Asiatic Mode of Production and Underdeveloped Countries]. This book initiated the debate on Asiatic mode of production in Turkey.
Kapital, first complete translation of Karl Marx’s Das Kapital (vol 1, 1867) from its German original.",Yalçıntaş (2012).
timelineID64,1967,Publication,"Sencer Divitçioğlu. Asya Üretim Tarzı ve Osmanlı Toplumu [Asiatic Mode of Production and the Ottoman Society]. In this book, Divitçioğlu claims that the Ottoman Empire should be examined in terms of the Asiatic mode of production.",
timelineID65,1969,Publication,Gülten Kazgan. İktisadi Düşünce veya Politik İktisadın Evrimi [Economic Thought or the Evolution of Economics]. This has been the most popular book on the history of economic thought in Turkey.,Yalçıntaş (2023).
timelineID66,1971,Event,"Coup d’etat
Boğaziçi University, Department of Economics was founded.",
timelineID67,1974,Publication,Korkut Boratav. 100 Soruda Türkiye’de Devletçilik [Statism in Turkey in 100 Questions],
timelineID68,1975,Event,The Department of Economics at Ankara University was founded.,
timelineID69,1980,Event,Coup d’etat,Yalçıntaş et al. (2022-2025).
timelineID70,1985,Publication,"Protestan Ahlâkı ve Kapitalizmin Ruhu, Turkish translation of Weber's The Protestant Ethics and the Spirit of Capitalism, 1905.",Yalçıntaş et al. (2022-2025).
timelineID71,1993,Event,Koç University was founded as the first private university in Turkey.,
timelineID72,2007,Publication,"Ekonomi Politiğin ve Vergilendirmenin İlkeleri, Turkish translation of Ricardo's The Principles of Political Economy and Taxation, 1817.",Yalçıntaş et al. (2022-2025).
timelineID73,2007,Institution,The Turkish Initiative for Economic Thought was established. The initiative has been a network of scholars specialised in the history of economic thought and economic philosophy. It has organised workshops on a selected subject in a different city. The articles presented in the workshops have been published by national publication houses.,
timelineID74,2019,Institution,"The Department of Politics and Economics was founded at the Faculty of Political Sciences, Ankara University.",Yalçıntaş et al. (2022-2025).
